content,aspect,sentiment,from,to
the officials obtained a search warrant for lees house where they found 88 ecstasy pills three valium tablets 32432 in cash and a loaded rifle,lees,-1,44,48
the officials obtained a search warrant for lees house where they found 88 ecstasy pills three valium tablets 32432 in cash and a loaded rifle,officials,1,4,13
lee admitted that the drugs were his and that he had given ecstasy to his friends,lee,-1,0,3
lee admitted that the drugs were his and that he had given ecstasy to his friends,his,-1,33,36
lee admitted that the drugs were his and that he had given ecstasy to his friends,he,-1,46,48
lee admitted that the drugs were his and that he had given ecstasy to his friends,his,-1,70,73
the drugs were his,his,-1,15,18
he had given ecstasy to his friends,he,-1,0,2
he had given ecstasy to his friends,his,-1,24,27
lee retained an attorney and entered into plea discussions with the government,lee,0,0,3
lee retained an attorney and entered into plea discussions with the government,attorney,0,16,24
lee retained an attorney and entered into plea discussions with the government,government,0,68,78
the attorney advised lee that going to trial was “very risky and that if he pleaded guilty he would receive a lighter sentence than he would if convicted at trial,attorney,0,4,12
the attorney advised lee that going to trial was “very risky and that if he pleaded guilty he would receive a lighter sentence than he would if convicted at trial,lee,-1,21,24
the attorney advised lee that going to trial was “very risky and that if he pleaded guilty he would receive a lighter sentence than he would if convicted at trial,he,-1,73,75
the attorney advised lee that going to trial was “very risky and that if he pleaded guilty he would receive a lighter sentence than he would if convicted at trial,he,-1,91,93
the attorney advised lee that going to trial was “very risky and that if he pleaded guilty he would receive a lighter sentence than he would if convicted at trial,he,-1,132,134
lee informed his attorney of his noncitizen status and repeatedly asked him whether he would face deportation as a result of the criminal proceedings,lee,0,0,3
lee informed his attorney of his noncitizen status and repeatedly asked him whether he would face deportation as a result of the criminal proceedings,his,0,13,16
lee informed his attorney of his noncitizen status and repeatedly asked him whether he would face deportation as a result of the criminal proceedings,attorney,0,17,25
lee informed his attorney of his noncitizen status and repeatedly asked him whether he would face deportation as a result of the criminal proceedings,him,0,72,75
he would face deportation as a result of the criminal proceedings,he,-1,0,2
the attorney told lee that he would not be deported as a result of pleading guilty,attorney,0,4,12
the attorney told lee that he would not be deported as a result of pleading guilty,lee,1,18,21
the attorney told lee that he would not be deported as a result of pleading guilty,he,1,27,29
lee had pleaded guilty to what qualifies as an “aggravated felony under the immigration and nationality act and a noncitizen convicted of such an offense is subject to mandatory deportation,lee,-1,0,3
according to lee the lawyer assured him that if deportation was not in the plea agreement “the government cannot deport you,lee,1,13,16
according to lee the lawyer assured him that if deportation was not in the plea agreement “the government cannot deport you,lawyer,0,21,27
according to lee the lawyer assured him that if deportation was not in the plea agreement “the government cannot deport you,him,1,36,39
according to lee the lawyer assured him that if deportation was not in the plea agreement “the government cannot deport you,government,-1,95,105
lees attorney testified that he thought lees case was a “bad case to try because lees defense to the charge was weak,lees,-1,0,4
lees attorney testified that he thought lees case was a “bad case to try because lees defense to the charge was weak,attorney,1,5,13
lees attorney testified that he thought lees case was a “bad case to try because lees defense to the charge was weak,he,-1,29,31
lees defense to the charge was weak,lees,-1,0,4
on appeal the government conceded that the performance of lees attorney had been deficient,lees,-1,58,62
on appeal the government conceded that the performance of lees attorney had been deficient,attorney,-1,63,71
on appeal the government conceded that the performance of lees attorney had been deficient,government,1,14,24
the performance of lees attorney had been deficient,lees,-1,19,23
the performance of lees attorney had been deficient,attorney,-1,24,32
a defendant raising such a claim can demonstrate prejudice by showing “a reasonable probability that but for counsels unprofessional errors the result of the proceeding would have been different,counsels,-1,109,117
a defendant raising such a claim can demonstrate prejudice by showing “a reasonable probability that but for counsels unprofessional errors the result of the proceeding would have been different,defendant,1,2,11
for counsels unprofessional errors the result of the proceeding would have been different,counsels,-1,4,12
the dissent contends that a defendant must also show that he would have been better off going to trial,defendant,1,28,37
the dissent contends that a defendant must also show that he would have been better off going to trial,he,1,58,60
he would have been better off going to trial,he,0,0,2
the error was instead one that affected lees understanding of the consequences of pleading guilty,lees,-1,40,44
lee on the other hand argues he can establish prejudice under hill because he never would have accepted a guilty plea had he known that he would be deported as a result,lee,1,0,3
lee on the other hand argues he can establish prejudice under hill because he never would have accepted a guilty plea had he known that he would be deported as a result,he,1,29,31
lee on the other hand argues he can establish prejudice under hill because he never would have accepted a guilty plea had he known that he would be deported as a result,he,1,75,77
lee on the other hand argues he can establish prejudice under hill because he never would have accepted a guilty plea had he known that he would be deported as a result,he,1,122,124
lee on the other hand argues he can establish prejudice under hill because he never would have accepted a guilty plea had he known that he would be deported as a result,he,1,136,138
he would be deported as a result,he,1,0,2
he never would have accepted a guilty plea,he,0,0,2
lee insists he would have gambled on trial risking more jail time for whatever small chance there might be of an acquittal that would let him remain in the united states,lee,-1,0,3
lee insists he would have gambled on trial risking more jail time for whatever small chance there might be of an acquittal that would let him remain in the united states,he,-1,12,14
lee insists he would have gambled on trial risking more jail time for whatever small chance there might be of an acquittal that would let him remain in the united states,him,-1,138,141
he would have gambled on trial,he,-1,0,2
lee the government contends cannot show prejudice from accepting a plea where his only hope at trial was that something unexpected and unpredictable might occur that would lead to an acquittal,lee,1,0,3
lee the government contends cannot show prejudice from accepting a plea where his only hope at trial was that something unexpected and unpredictable might occur that would lead to an acquittal,his,1,78,81
lee the government contends cannot show prejudice from accepting a plea where his only hope at trial was that something unexpected and unpredictable might occur that would lead to an acquittal,government,-1,8,18
lee the government contends cannot show prejudice from accepting a plea,lee,1,0,3
lee the government contends cannot show prejudice from accepting a plea,government,-1,8,18
the government argues however that under padilla v kentucky a defendant “must convince the court that a decision to reject the plea bargain would have been rational under the circumstances,government,1,4,14
the government argues however that under padilla v kentucky a defendant “must convince the court that a decision to reject the plea bargain would have been rational under the circumstances,defendant,1,62,71
the government contends that lee cannot make that showing because he was going to be deported either way going to trial would only result in a longer sentence before that inevitable consequence,lee,-1,29,32
the government contends that lee cannot make that showing because he was going to be deported either way going to trial would only result in a longer sentence before that inevitable consequence,he,-1,66,68
the government contends that lee cannot make that showing because he was going to be deported either way going to trial would only result in a longer sentence before that inevitable consequence,government,1,4,14
petitioner does not dispute that he possessed large quantities of illegal drugs or that the government had secured a witness who had purchased the drugs directly from him,petitioner,-1,0,10
petitioner does not dispute that he possessed large quantities of illegal drugs or that the government had secured a witness who had purchased the drugs directly from him,he,-1,33,35
petitioner does not dispute that he possessed large quantities of illegal drugs or that the government had secured a witness who had purchased the drugs directly from him,him,-1,167,170
petitioner does not dispute that he possessed large quantities of illegal drugs or that the government had secured a witness who had purchased the drugs directly from him,government,1,92,102
he possessed large quantities of illegal drugs,he,-1,0,2
the government had secured a witness,government,1,4,14
there is no reason to doubt the paramount importance lee placed on avoiding deportation,lee,1,53,56
the paramount importance lee placed on avoiding deportation,lee,1,25,28
but for his attorneys incompetence lee would have known that accepting the plea agreement would certainly lead to deportation,his,1,8,11
but for his attorneys incompetence lee would have known that accepting the plea agreement would certainly lead to deportation,attorneys,-1,12,21
it is instead because defendants obviously weigh their prospects at trial in deciding whether to accept a plea,defendants,1,22,32
it is instead because defendants obviously weigh their prospects at trial in deciding whether to accept a plea,their,1,49,54
lee quickly learned however that a prison term was not the only consequence of his plea,lee,-1,0,3
lee quickly learned however that a prison term was not the only consequence of his plea,his,-1,79,82
a prison term was not the only consequence of his plea,his,-1,46,49
here lee knew correctly that his prospects of acquittal at trial were grim and his attorneys error had nothing to do with that,lee,1,5,8
here lee knew correctly that his prospects of acquittal at trial were grim and his attorneys error had nothing to do with that,his,1,29,32
here lee knew correctly that his prospects of acquittal at trial were grim and his attorneys error had nothing to do with that,his,1,79,82
here lee knew correctly that his prospects of acquittal at trial were grim and his attorneys error had nothing to do with that,attorneys,0,83,92
his prospects of acquittal at trial were grim,his,1,0,3
that is true when the defendants decision about going to trial turns on his prospects of success and those are affected by the attorneys error—for instance where a defendant alleges that his lawyer should have but did not seek to suppress an improperly obtained confession,defendants,1,22,32
that is true when the defendants decision about going to trial turns on his prospects of success and those are affected by the attorneys error—for instance where a defendant alleges that his lawyer should have but did not seek to suppress an improperly obtained confession,his,1,72,75
that is true when the defendants decision about going to trial turns on his prospects of success and those are affected by the attorneys error—for instance where a defendant alleges that his lawyer should have but did not seek to suppress an improperly obtained confession,attorneys,-1,127,136
that is true when the defendants decision about going to trial turns on his prospects of success and those are affected by the attorneys error—for instance where a defendant alleges that his lawyer should have but did not seek to suppress an improperly obtained confession,his,1,187,190
that is true when the defendants decision about going to trial turns on his prospects of success and those are affected by the attorneys error—for instance where a defendant alleges that his lawyer should have but did not seek to suppress an improperly obtained confession,lawyer,-1,191,197
the defendants decision about going to trial turns on his prospects of success and those,defendants,1,4,14
the defendants decision about going to trial turns on his prospects of success and those,his,1,54,57
his lawyer should have but did not seek to suppress an improperly obtained confession,his,0,0,3
his lawyer should have but did not seek to suppress an improperly obtained confession,lawyer,-1,4,10
in circumstances where a defendant has admitted his guilt the evidence against him is overwhelming and he has no bona fide defense strategy i see no justification for imposing these costs,defendant,-1,25,34
in circumstances where a defendant has admitted his guilt the evidence against him is overwhelming and he has no bona fide defense strategy i see no justification for imposing these costs,his,-1,48,51
in circumstances where a defendant has admitted his guilt the evidence against him is overwhelming and he has no bona fide defense strategy i see no justification for imposing these costs,him,-1,79,82
in circumstances where a defendant has admitted his guilt the evidence against him is overwhelming and he has no bona fide defense strategy i see no justification for imposing these costs,he,-1,103,105
under its rule so long as a defendant alleges that his counsel omitted or misadvised him on a piece of information during the plea process that he considered of “paramount importance ante at 10 he could allege a plausible claim of ineffective assistance of counsel,defendant,1,28,37
under its rule so long as a defendant alleges that his counsel omitted or misadvised him on a piece of information during the plea process that he considered of “paramount importance ante at 10 he could allege a plausible claim of ineffective assistance of counsel,his,1,51,54
under its rule so long as a defendant alleges that his counsel omitted or misadvised him on a piece of information during the plea process that he considered of “paramount importance ante at 10 he could allege a plausible claim of ineffective assistance of counsel,counsel,-1,55,62
under its rule so long as a defendant alleges that his counsel omitted or misadvised him on a piece of information during the plea process that he considered of “paramount importance ante at 10 he could allege a plausible claim of ineffective assistance of counsel,him,1,85,88
under its rule so long as a defendant alleges that his counsel omitted or misadvised him on a piece of information during the plea process that he considered of “paramount importance ante at 10 he could allege a plausible claim of ineffective assistance of counsel,he,1,144,146
under its rule so long as a defendant alleges that his counsel omitted or misadvised him on a piece of information during the plea process that he considered of “paramount importance ante at 10 he could allege a plausible claim of ineffective assistance of counsel,he,1,194,196
his counsel omitted or misadvised him on a piece of information during the plea process,his,-1,0,3
his counsel omitted or misadvised him on a piece of information during the plea process,counsel,-1,4,11
his counsel omitted or misadvised him on a piece of information during the plea process,him,-1,34,37
before accepting her plea the district court made the inquiries required by federal rule of criminal procedure 11 told petitioner that she faced a mandatory minimum of 1 year in prison for distributing cocaine but a 10year minimum for conspiracy if the government could show the required 5 kilograms and explained that by pleading guilty she would be waiving inter alia her right at trial to remain silent,her,-1,17,20
before accepting her plea the district court made the inquiries required by federal rule of criminal procedure 11 told petitioner that she faced a mandatory minimum of 1 year in prison for distributing cocaine but a 10year minimum for conspiracy if the government could show the required 5 kilograms and explained that by pleading guilty she would be waiving inter alia her right at trial to remain silent,petitioner,-1,119,129
before accepting her plea the district court made the inquiries required by federal rule of criminal procedure 11 told petitioner that she faced a mandatory minimum of 1 year in prison for distributing cocaine but a 10year minimum for conspiracy if the government could show the required 5 kilograms and explained that by pleading guilty she would be waiving inter alia her right at trial to remain silent,she,-1,135,138
before accepting her plea the district court made the inquiries required by federal rule of criminal procedure 11 told petitioner that she faced a mandatory minimum of 1 year in prison for distributing cocaine but a 10year minimum for conspiracy if the government could show the required 5 kilograms and explained that by pleading guilty she would be waiving inter alia her right at trial to remain silent,she,-1,338,341
before accepting her plea the district court made the inquiries required by federal rule of criminal procedure 11 told petitioner that she faced a mandatory minimum of 1 year in prison for distributing cocaine but a 10year minimum for conspiracy if the government could show the required 5 kilograms and explained that by pleading guilty she would be waiving inter alia her right at trial to remain silent,her,-1,370,373
before accepting her plea the district court made the inquiries required by federal rule of criminal procedure 11 told petitioner that she faced a mandatory minimum of 1 year in prison for distributing cocaine but a 10year minimum for conspiracy if the government could show the required 5 kilograms and explained that by pleading guilty she would be waiving inter alia her right at trial to remain silent,government,1,253,263
accepting her plea the district court made the inquiries required by federal rule of criminal procedure 11,her,-1,10,13
she faced a mandatory minimum of 1 year in prison for distributing cocaine,she,-1,0,3
the government could show the required 5 kilograms,government,1,4,14
she would be waiving inter alia,she,0,0,3
by pleading guilty she would be waiving inter alia her right at trial to remain silent,she,-1,19,22
by pleading guilty she would be waiving inter alia her right at trial to remain silent,her,-1,51,54
at her sentencing hearing three codefendants testified that she had sold 1½ to 2 ounces of cocaine twice a week for 1½ years and another person testified that petitioner had sold her two ounces of cocaine,her,-1,3,6
at her sentencing hearing three codefendants testified that she had sold 1½ to 2 ounces of cocaine twice a week for 1½ years and another person testified that petitioner had sold her two ounces of cocaine,she,-1,60,63
at her sentencing hearing three codefendants testified that she had sold 1½ to 2 ounces of cocaine twice a week for 1½ years and another person testified that petitioner had sold her two ounces of cocaine,her,-1,179,182
at her sentencing hearing three codefendants testified that she had sold 1½ to 2 ounces of cocaine twice a week for 1½ years and another person testified that petitioner had sold her two ounces of cocaine,codefendants,1,32,44
she had sold 1½ to 2 ounces of cocaine twice a week for 1½ years,she,-1,0,3
petitioner had sold her two ounces of cocaine,petitioner,-1,0,10
petitioner had sold her two ounces of cocaine,her,-1,20,23
petitioner put on no evidence and argued that the only reliable evidence showed that she had sold only two ounces of cocaine,petitioner,-1,0,10
petitioner put on no evidence and argued that the only reliable evidence showed that she had sold only two ounces of cocaine,she,-1,85,88
petitioner put on no evidence and argued,petitioner,-1,0,10
she had sold only two ounces of cocaine,she,-1,0,3
the district court ruled that as a consequence of petitioners guilty plea she had no right to remain silent about her crimes details found that the codefendants testimony put her over the 5kilogram threshold thus mandating the 10year minimum and noted that her failure to testify was a factor in persuading the court to rely on the codefendants testimony,petitioners,-1,50,61
the district court ruled that as a consequence of petitioners guilty plea she had no right to remain silent about her crimes details found that the codefendants testimony put her over the 5kilogram threshold thus mandating the 10year minimum and noted that her failure to testify was a factor in persuading the court to rely on the codefendants testimony,she,-1,74,77
the district court ruled that as a consequence of petitioners guilty plea she had no right to remain silent about her crimes details found that the codefendants testimony put her over the 5kilogram threshold thus mandating the 10year minimum and noted that her failure to testify was a factor in persuading the court to rely on the codefendants testimony,her,-1,175,178
the district court ruled that as a consequence of petitioners guilty plea she had no right to remain silent about her crimes details found that the codefendants testimony put her over the 5kilogram threshold thus mandating the 10year minimum and noted that her failure to testify was a factor in persuading the court to rely on the codefendants testimony,her,-1,257,260
the district court ruled that as a consequence of petitioners guilty plea she had no right to remain silent about her crimes details found that the codefendants testimony put her over the 5kilogram threshold thus mandating the 10year minimum and noted that her failure to testify was a factor in persuading the court to rely on the codefendants testimony,codefendants,1,148,160
as a consequence of petitioners guilty plea she had no right to remain silent about her crimes details,petitioners,-1,20,31
as a consequence of petitioners guilty plea she had no right to remain silent about her crimes details,she,-1,44,47
as a consequence of petitioners guilty plea she had no right to remain silent about her crimes details,her,-1,84,87
the codefendants testimony put her over the 5kilogram threshold thus mandating the 10year minimum,her,-1,31,34
the codefendants testimony put her over the 5kilogram threshold thus mandating the 10year minimum,codefendants,1,4,16
her failure to testify was a factor in persuading the court to rely on the codefendants testimony,her,-1,0,3
her failure to testify was a factor in persuading the court to rely on the codefendants testimony,codefendants,1,75,87
petitioner amanda mitchell and 22 other defendants were indicted for offenses arising from a conspiracy to distribute cocaine in allentown pennsylvania from 1989 to 1994,petitioner amanda mitchell,-1,0,26
petitioner amanda mitchell and 22 other defendants were indicted for offenses arising from a conspiracy to distribute cocaine in allentown pennsylvania from 1989 to 1994,defendants,-1,40,50
according to the indictment the leader of the conspiracy harry riddick obtained large quantities of cocaine and resold the drug through couriers and street sellers including petitioner,petitioner,-1,174,184
petitioner was charged with one count of conspiring to distribute five or more kilograms of cocaine in violation of 21 u s c §846 and with three counts of distributing cocaine within 1000 feet of a school or playground in violation of §860a,petitioner,-1,0,10
petitioner was charged with one count of conspiring to distribute five or more kilograms of cocaine in violation of 21 u s c §846,petitioner,-1,0,10
in 1995 without any plea agreement petitioner pleaded guilty to all four counts,petitioner,-1,35,45
she reserved the right to contest the drug quantity attributable to her under the conspiracy count and the district court advised her the drug quantity would be determined at her sentencing hearing,she,-1,0,3
she reserved the right to contest the drug quantity attributable to her under the conspiracy count and the district court advised her the drug quantity would be determined at her sentencing hearing,her,-1,68,71
she reserved the right to contest the drug quantity attributable to her under the conspiracy count and the district court advised her the drug quantity would be determined at her sentencing hearing,her,-1,130,133
she reserved the right to contest the drug quantity attributable to her under the conspiracy count and the district court advised her the drug quantity would be determined at her sentencing hearing,her,-1,175,178
she reserved the right to contest the drug quantity attributable to her under the conspiracy count,she,-1,0,3
she reserved the right to contest the drug quantity attributable to her under the conspiracy count,her,-1,68,71
the district court advised her the drug quantity,her,-1,27,30
informing petitioner of the penalties for her offenses the district judge advised her the range of punishment here is very complex because we dont know how much cocaine the governments going to be able to show you were involved in app 39,petitioner,-1,10,20
informing petitioner of the penalties for her offenses the district judge advised her the range of punishment here is very complex because we dont know how much cocaine the governments going to be able to show you were involved in app 39,her,-1,42,45
informing petitioner of the penalties for her offenses the district judge advised her the range of punishment here is very complex because we dont know how much cocaine the governments going to be able to show you were involved in app 39,her,-1,82,85
informing petitioner of the penalties for her offenses,petitioner,-1,10,20
informing petitioner of the penalties for her offenses,her,-1,42,45
how much cocaine the governments going to be able to show you were involved in,governments,1,21,32
after the government explained the factual basis for the charges the judge having put petitioner under oath asked her did you do that petitioner answered some of it id at 47,petitioner,-1,86,96
after the government explained the factual basis for the charges the judge having put petitioner under oath asked her did you do that petitioner answered some of it id at 47,her,-1,114,117
after the government explained the factual basis for the charges the judge having put petitioner under oath asked her did you do that petitioner answered some of it id at 47,you,-1,122,125
after the government explained the factual basis for the charges the judge having put petitioner under oath asked her did you do that petitioner answered some of it id at 47,government,1,10,20
the government explained the factual basis for the charges the judge having put petitioner under oath,petitioner,-1,80,90
the government explained the factual basis for the charges the judge having put petitioner under oath,government,1,4,14
petitioner answered some of it,petitioner,0,0,10
she indicated that although present for one of the transactions charged as a substantive cocaine distribution count she had not herself delivered the cocaine to the customer,she,1,0,3
she indicated that although present for one of the transactions charged as a substantive cocaine distribution count she had not herself delivered the cocaine to the customer,she,1,116,119
she had not herself delivered the cocaine to the customer,she,1,0,3
the government maintained she was liable nevertheless as an aider and abettor of the delivery by another courier,she,-1,26,29
the government maintained she was liable nevertheless as an aider and abettor of the delivery by another courier,government,1,4,14
she was liable nevertheless as an aider and abettor of the delivery by another courier,she,0,0,3
after discussion with her counsel petitioner reaffirmed her intention to plead guilty to all the charges,her,-1,22,25
after discussion with her counsel petitioner reaffirmed her intention to plead guilty to all the charges,counsel,-1,26,33
after discussion with her counsel petitioner reaffirmed her intention to plead guilty to all the charges,petitioner,-1,34,44
after discussion with her counsel petitioner reaffirmed her intention to plead guilty to all the charges,her,-1,56,59
the district court noted she might have a defense to one count on the theory that she was present but did not aid or abet the transaction,she,1,25,28
the district court noted she might have a defense to one count on the theory that she was present but did not aid or abet the transaction,she,1,82,85
she might have a defense to one count on the theory,she,1,0,3
she was present but did not aid or abet the transaction,she,1,0,3
petitioner again confirmed her intention to plead guilty and the district court accepted the plea,petitioner,-1,0,10
petitioner again confirmed her intention to plead guilty and the district court accepted the plea,her,-1,27,30
petitioner again confirmed her intention to plead guilty,petitioner,-1,0,10
three other codefendants had pleaded guilty and agreed to cooperate with the government,government,1,77,87
three other codefendants had pleaded guilty and agreed to cooperate with the government,codefendants,1,12,24
they testified petitioner was a regular seller for ringleader riddick,petitioner,-1,15,25
they testified petitioner was a regular seller for ringleader riddick,they,1,0,4
petitioner was a regular seller for ringleader riddick,petitioner,0,0,10
at petitioners sentencing hearing the three adopted their trial testimony and one of them furnished additional information on the amount of cocaine petitioner sold,petitioner,-1,148,158
at petitioners sentencing hearing the three adopted their trial testimony and one of them furnished additional information on the amount of cocaine petitioner sold,one of them,1,78,89
according to him petitioner worked two to three times a week selling 1½ to 2 ounces of cocaine a day from april 1992 to august 1992,petitioner,-1,17,27
according to him petitioner worked two to three times a week selling 1½ to 2 ounces of cocaine a day from april 1992 to august 1992,him,1,13,16
her counsel argued however that the three documented sales to mack constituted the only evidence of sufficient reliability to be credited in determining the quantity of cocaine attributable to her for sentencing purposes,her,1,0,3
her counsel argued however that the three documented sales to mack constituted the only evidence of sufficient reliability to be credited in determining the quantity of cocaine attributable to her for sentencing purposes,counsel,0,4,11
her counsel argued however that the three documented sales to mack constituted the only evidence of sufficient reliability to be credited in determining the quantity of cocaine attributable to her for sentencing purposes,her,1,193,196
after this testimony at the sentencing hearing the district court ruled that as a consequence of her guilty plea petitioner had no right to remain silent with respect to the details of her crimes,her,-1,97,100
after this testimony at the sentencing hearing the district court ruled that as a consequence of her guilty plea petitioner had no right to remain silent with respect to the details of her crimes,petitioner,-1,113,123
after this testimony at the sentencing hearing the district court ruled that as a consequence of her guilty plea petitioner had no right to remain silent with respect to the details of her crimes,her,-1,185,188
as a consequence of her guilty plea petitioner had no right to remain silent with respect to the details of her crimes,petitioner,-1,36,46
as a consequence of her guilty plea petitioner had no right to remain silent with respect to the details of her crimes,her,-1,20,23
the court found credible the testimony indicating petitioner had been a drug courier on a regular basis,petitioner,-1,50,60
credible the testimony indicating petitioner had been a drug courier on a regular basis,petitioner,-1,34,44
the district court sentenced petitioner to the statutory minimum of 10 years of imprisonment 6 years of supervised release and a special assessment of 200,petitioner,-1,29,39
petitioners reservation of the right to contest the amount of drugs attributable to her did not change the courts analysis,petitioners,-1,0,11
petitioners reservation of the right to contest the amount of drugs attributable to her did not change the courts analysis,her,-1,84,87
petitioners reservation of the right to contest the amount of drugs attributable to her,petitioners,-1,0,11
petitioners reservation of the right to contest the amount of drugs attributable to her,her,-1,84,87
mitchell opened herself up to the full range of possible sentences when she was told during her plea colloquy that the penalty for conspiring to distribute cocaine had a maximum of life imprisonment,mitchell,-1,0,8
mitchell opened herself up to the full range of possible sentences when she was told during her plea colloquy that the penalty for conspiring to distribute cocaine had a maximum of life imprisonment,she,-1,72,75
mitchell opened herself up to the full range of possible sentences when she was told during her plea colloquy that the penalty for conspiring to distribute cocaine had a maximum of life imprisonment,her,-1,92,95
mitchell opened herself up to the full range of possible sentences,mitchell,0,0,8
she was told during her plea colloquy,she,0,0,3
she was told during her plea colloquy,her,0,20,23
we may assume for purposes of this opinion then that if petitioner had pleaded not guilty and having taken the stand at a trial testified she did some of it she could have been crossexamined on the frequency of her drug deliveries and the quantity of cocaine involved,petitioner,1,56,66
we may assume for purposes of this opinion then that if petitioner had pleaded not guilty and having taken the stand at a trial testified she did some of it she could have been crossexamined on the frequency of her drug deliveries and the quantity of cocaine involved,she,1,138,141
we may assume for purposes of this opinion then that if petitioner had pleaded not guilty and having taken the stand at a trial testified she did some of it she could have been crossexamined on the frequency of her drug deliveries and the quantity of cocaine involved,she,1,157,160
we may assume for purposes of this opinion then that if petitioner had pleaded not guilty and having taken the stand at a trial testified she did some of it she could have been crossexamined on the frequency of her drug deliveries and the quantity of cocaine involved,her,1,211,214
she did some of it,she,0,0,3
petitioner had pleaded not guilty,petitioner,1,0,10
the government would turn this constitutional shield into a prosecutorial sword by having the defendant relinquish all rights against compelled selfincrimination upon entry of a guilty plea including the right to remain silent at sentencing,government,1,4,14
the government would turn this constitutional shield into a prosecutorial sword by having the defendant relinquish all rights against compelled selfincrimination upon entry of a guilty plea including the right to remain silent at sentencing,defendant,-1,94,103
here petitioners statement that she had done some of  the proffered conduct did not pose a threat to the integrity of fact finding proceedings for the purpose of the district courts inquiry was simply to ensure that petitioner understood the charges and that there was a factual basis for the governments case,petitioners,1,5,16
